"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 16 16:46:40 GMT 2022","Tue Aug 16 16:46:51 GMT 2022","10827","","Smoke Tests","","Smoke Tests","Validate Login Success","Validate Login Success",""
"passed","Tue Aug 16 16:47:10 GMT 2022","Tue Aug 16 16:47:14 GMT 2022","4206","","Smoke Tests","","Smoke Tests","Validate Warehouse Dashboards Page","Validate Warehouse Dashboards Page",""
"broken","Tue Aug 16 16:50:52 GMT 2022","Tue Aug 16 16:51:02 GMT 2022","10066","","Smoke Tests","","Smoke Tests","Validate Fulfillment Dashboards Page","Validate Fulfillment Dashboards Page",""
"passed","Wed Aug 10 00:35:33 GMT 2022","Wed Aug 10 00:35:33 GMT 2022","1","","Smoke Tests","","Smoke Tests","Fail Test on Purpose","Fail Test on Purpose",""
"broken","Tue Aug 16 16:50:32 GMT 2022","Tue Aug 16 16:50:42 GMT 2022","10087","","Smoke Tests","","Smoke Tests","Validate Executive Dashboards Page","Validate Executive Dashboards Page",""
"passed","Tue Aug 16 16:46:54 GMT 2022","Tue Aug 16 16:47:02 GMT 2022","7928","","Smoke Tests","","Smoke Tests","Validate Accounting Dashboards Page","Validate Accounting Dashboards Page",""
"broken","Tue Aug 16 16:51:02 GMT 2022","Tue Aug 16 16:51:12 GMT 2022","10066","","Smoke Tests","","Smoke Tests","Validate Sales Dashboards Page","Validate Sales Dashboards Page",""
"broken","Tue Aug 16 16:51:12 GMT 2022","Tue Aug 16 16:51:22 GMT 2022","10066","","Smoke Tests","","Smoke Tests","Validate Warehouse Dashboards Page","Validate Warehouse Dashboards Page",""
"passed","Wed Aug 10 00:35:33 GMT 2022","Wed Aug 10 00:35:33 GMT 2022","3","","Smoke Tests","","Smoke Tests","Validate Uncheck Account Receivable Deposit Clients","Validate Uncheck Account Receivable Deposit Clients",""
"passed","Tue Aug 16 16:47:02 GMT 2022","Tue Aug 16 16:47:04 GMT 2022","2954","","Smoke Tests","","Smoke Tests","Validate Fulfillment Dashboards Page","Validate Fulfillment Dashboards Page",""
"broken","Tue Aug 16 16:50:42 GMT 2022","Tue Aug 16 16:50:52 GMT 2022","10066","","Smoke Tests","","Smoke Tests","Validate Accounting Dashboards Page","Validate Accounting Dashboards Page",""
"passed","Tue Aug 16 16:47:04 GMT 2022","Tue Aug 16 16:47:10 GMT 2022","5347","","Smoke Tests","","Smoke Tests","Validate Sales Dashboards Page","Validate Sales Dashboards Page",""
"broken","Tue Aug 16 16:50:29 GMT 2022","Tue Aug 16 16:50:32 GMT 2022","2930","","Smoke Tests","","Smoke Tests","Validate Login Success","Validate Login Success",""
"passed","Tue Aug 16 16:46:51 GMT 2022","Tue Aug 16 16:46:54 GMT 2022","2469","","Smoke Tests","","Smoke Tests","Validate Executive Dashboards Page","Validate Executive Dashboards Page",""
"passed","Wed Aug 10 00:35:33 GMT 2022","Wed Aug 10 00:35:33 GMT 2022","0","","Smoke Tests","","Smoke Tests","Validate Uncheck Account Payable Forecast Clients","Validate Uncheck Account Payable Forecast Clients",""
"passed","Tue Aug 09 17:16:43 GMT 2022","Tue Aug 09 17:16:43 GMT 2022","4","","Smoke Tests","","Smoke Tests","Validate Dashboards Page","Validate Dashboards Page",""
