"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 16 18:42:58 GMT 2022","Tue Aug 16 18:43:08 GMT 2022","10249","","Smoke Tests","","Smoke Tests","Validate Warehouse Dashboards Page","Validate Warehouse Dashboards Page",""
"broken","Tue Aug 16 18:42:14 GMT 2022","Tue Aug 16 18:42:17 GMT 2022","2389","","Smoke Tests","","Smoke Tests","Validate Login Success","Validate Login Success",""
"broken","Tue Aug 16 18:42:27 GMT 2022","Tue Aug 16 18:42:37 GMT 2022","10248","","Smoke Tests","","Smoke Tests","Validate Accounting Dashboards Page","Validate Accounting Dashboards Page",""
"passed","Tue Aug 16 18:39:35 GMT 2022","Tue Aug 16 18:39:37 GMT 2022","1259","","Smoke Tests","","Smoke Tests","Validate Executive Dashboards Page","Validate Executive Dashboards Page",""
"passed","Tue Aug 16 18:39:45 GMT 2022","Tue Aug 16 18:39:47 GMT 2022","2469","","Smoke Tests","","Smoke Tests","Validate Warehouse Dashboards Page","Validate Warehouse Dashboards Page",""
"passed","Tue Aug 16 18:39:27 GMT 2022","Tue Aug 16 18:39:35 GMT 2022","8544","","Smoke Tests","","Smoke Tests","Validate Login Success","Validate Login Success",""
"broken","Tue Aug 16 18:42:37 GMT 2022","Tue Aug 16 18:42:47 GMT 2022","10250","","Smoke Tests","","Smoke Tests","Validate Fulfillment Dashboards Page","Validate Fulfillment Dashboards Page",""
"broken","Tue Aug 16 18:42:17 GMT 2022","Tue Aug 16 18:42:27 GMT 2022","10249","","Smoke Tests","","Smoke Tests","Validate Executive Dashboards Page","Validate Executive Dashboards Page",""
"passed","Tue Aug 16 18:39:40 GMT 2022","Tue Aug 16 18:39:42 GMT 2022","2169","","Smoke Tests","","Smoke Tests","Validate Fulfillment Dashboards Page","Validate Fulfillment Dashboards Page",""
"passed","Tue Aug 16 18:39:42 GMT 2022","Tue Aug 16 18:39:45 GMT 2022","2602","","Smoke Tests","","Smoke Tests","Validate Sales Dashboards Page","Validate Sales Dashboards Page",""
"passed","Tue Aug 16 18:39:37 GMT 2022","Tue Aug 16 18:39:40 GMT 2022","3711","","Smoke Tests","","Smoke Tests","Validate Accounting Dashboards Page","Validate Accounting Dashboards Page",""
"broken","Tue Aug 16 18:42:47 GMT 2022","Tue Aug 16 18:42:58 GMT 2022","10250","","Smoke Tests","","Smoke Tests","Validate Sales Dashboards Page","Validate Sales Dashboards Page",""
