"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 10 00:35:33 GMT 2022","Wed Aug 10 00:35:33 GMT 2022","1","","Smoke Tests","","Smoke Tests","Fail Test on Purpose","Fail Test on Purpose",""
"passed","Tue Aug 16 00:08:59 GMT 2022","Tue Aug 16 00:09:01 GMT 2022","1684","","Smoke Tests","","Smoke Tests","Validate Fulfillment Dashboards Page","Validate Fulfillment Dashboards Page",""
"passed","Tue Aug 16 00:09:04 GMT 2022","Tue Aug 16 00:09:06 GMT 2022","2123","","Smoke Tests","","Smoke Tests","Validate Warehouse Dashboards Page","Validate Warehouse Dashboards Page",""
"broken","Tue Aug 16 16:39:53 GMT 2022","Tue Aug 16 16:40:03 GMT 2022","10067","","Smoke Tests","","Smoke Tests","Validate Accounting Dashboards Page","Validate Accounting Dashboards Page",""
"broken","Tue Aug 16 16:40:13 GMT 2022","Tue Aug 16 16:40:23 GMT 2022","10050","","Smoke Tests","","Smoke Tests","Validate Sales Dashboards Page","Validate Sales Dashboards Page",""
"broken","Tue Aug 16 16:40:23 GMT 2022","Tue Aug 16 16:40:33 GMT 2022","10050","","Smoke Tests","","Smoke Tests","Validate Warehouse Dashboards Page","Validate Warehouse Dashboards Page",""
"passed","Tue Aug 16 00:09:01 GMT 2022","Tue Aug 16 00:09:04 GMT 2022","3137","","Smoke Tests","","Smoke Tests","Validate Sales Dashboards Page","Validate Sales Dashboards Page",""
"broken","Tue Aug 16 16:39:43 GMT 2022","Tue Aug 16 16:39:53 GMT 2022","10114","","Smoke Tests","","Smoke Tests","Validate Executive Dashboards Page","Validate Executive Dashboards Page",""
"passed","Tue Aug 16 00:08:54 GMT 2022","Tue Aug 16 00:08:55 GMT 2022","1098","","Smoke Tests","","Smoke Tests","Validate Executive Dashboards Page","Validate Executive Dashboards Page",""
"broken","Tue Aug 16 00:08:55 GMT 2022","Tue Aug 16 00:08:59 GMT 2022","3810","","Smoke Tests","","Smoke Tests","Validate Accounting Dashboards Page","Validate Accounting Dashboards Page",""
"broken","Tue Aug 16 16:39:40 GMT 2022","Tue Aug 16 16:39:43 GMT 2022","3011","","Smoke Tests","","Smoke Tests","Validate Login Success","Validate Login Success",""
"broken","Tue Aug 16 16:40:03 GMT 2022","Tue Aug 16 16:40:13 GMT 2022","10066","","Smoke Tests","","Smoke Tests","Validate Fulfillment Dashboards Page","Validate Fulfillment Dashboards Page",""
"passed","Wed Aug 10 00:35:33 GMT 2022","Wed Aug 10 00:35:33 GMT 2022","3","","Smoke Tests","","Smoke Tests","Validate Uncheck Account Receivable Deposit Clients","Validate Uncheck Account Receivable Deposit Clients",""
"passed","Tue Aug 09 17:16:43 GMT 2022","Tue Aug 09 17:16:43 GMT 2022","4","","Smoke Tests","","Smoke Tests","Validate Dashboards Page","Validate Dashboards Page",""
"passed","Wed Aug 10 00:35:33 GMT 2022","Wed Aug 10 00:35:33 GMT 2022","0","","Smoke Tests","","Smoke Tests","Validate Uncheck Account Payable Forecast Clients","Validate Uncheck Account Payable Forecast Clients",""
"passed","Tue Aug 16 00:08:48 GMT 2022","Tue Aug 16 00:08:54 GMT 2022","5705","","Smoke Tests","","Smoke Tests","Validate Login Success","Validate Login Success",""
