"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 12 12:39:15 GMT 2022","Fri Aug 12 12:39:25 GMT 2022","10066","","Smoke Tests","","Smoke Tests","Validate Warehouse Dashboards Page","Validate Warehouse Dashboards Page",""
"broken","Fri Aug 12 12:38:55 GMT 2022","Fri Aug 12 12:39:05 GMT 2022","10065","","Smoke Tests","","Smoke Tests","Validate Fulfillment Dashboards Page","Validate Fulfillment Dashboards Page",""
"passed","Wed Aug 10 00:35:33 GMT 2022","Wed Aug 10 00:35:33 GMT 2022","3","","Smoke Tests","","Smoke Tests","Validate Uncheck Account Receivable Deposit Clients","Validate Uncheck Account Receivable Deposit Clients",""
"broken","Fri Aug 12 12:38:32 GMT 2022","Fri Aug 12 12:38:35 GMT 2022","2398","","Smoke Tests","","Smoke Tests","Validate Login Success","Validate Login Success",""
"broken","Fri Aug 12 12:39:05 GMT 2022","Fri Aug 12 12:39:15 GMT 2022","10068","","Smoke Tests","","Smoke Tests","Validate Sales Dashboards Page","Validate Sales Dashboards Page",""
"passed","Wed Aug 10 00:35:33 GMT 2022","Wed Aug 10 00:35:33 GMT 2022","0","","Smoke Tests","","Smoke Tests","Validate Uncheck Account Payable Forecast Clients","Validate Uncheck Account Payable Forecast Clients",""
"passed","Tue Aug 09 17:16:43 GMT 2022","Tue Aug 09 17:16:43 GMT 2022","4","","Smoke Tests","","Smoke Tests","Validate Dashboards Page","Validate Dashboards Page",""
"broken","Fri Aug 12 12:38:45 GMT 2022","Fri Aug 12 12:38:55 GMT 2022","10064","","Smoke Tests","","Smoke Tests","Validate Accounting Dashboards Page","Validate Accounting Dashboards Page",""
"broken","Fri Aug 12 12:38:35 GMT 2022","Fri Aug 12 12:38:45 GMT 2022","10122","","Smoke Tests","","Smoke Tests","Validate Executive Dashboards Page","Validate Executive Dashboards Page",""
"passed","Wed Aug 10 00:35:33 GMT 2022","Wed Aug 10 00:35:33 GMT 2022","1","","Smoke Tests","","Smoke Tests","Fail Test on Purpose","Fail Test on Purpose",""
