"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 16 12:07:41 GMT 2022","Tue Aug 16 12:07:51 GMT 2022","10066","","Smoke Tests","","Smoke Tests","Validate Accounting Dashboards Page","Validate Accounting Dashboards Page",""
"passed","Tue Aug 09 17:16:43 GMT 2022","Tue Aug 09 17:16:43 GMT 2022","4","","Smoke Tests","","Smoke Tests","Validate Dashboards Page","Validate Dashboards Page",""
"passed","Wed Aug 10 00:35:33 GMT 2022","Wed Aug 10 00:35:33 GMT 2022","0","","Smoke Tests","","Smoke Tests","Validate Uncheck Account Payable Forecast Clients","Validate Uncheck Account Payable Forecast Clients",""
"passed","Mon Aug 15 15:20:42 GMT 2022","Mon Aug 15 15:20:45 GMT 2022","2572","","Smoke Tests","","Smoke Tests","Validate Warehouse Dashboards Page","Validate Warehouse Dashboards Page",""
"passed","Mon Aug 15 15:20:30 GMT 2022","Mon Aug 15 15:20:35 GMT 2022","4563","","Smoke Tests","","Smoke Tests","Validate Accounting Dashboards Page","Validate Accounting Dashboards Page",""
"broken","Tue Aug 16 12:08:01 GMT 2022","Tue Aug 16 12:08:11 GMT 2022","10066","","Smoke Tests","","Smoke Tests","Validate Sales Dashboards Page","Validate Sales Dashboards Page",""
"broken","Tue Aug 16 12:07:31 GMT 2022","Tue Aug 16 12:07:41 GMT 2022","10079","","Smoke Tests","","Smoke Tests","Validate Executive Dashboards Page","Validate Executive Dashboards Page",""
"passed","Mon Aug 15 15:20:35 GMT 2022","Mon Aug 15 15:20:38 GMT 2022","2534","","Smoke Tests","","Smoke Tests","Validate Fulfillment Dashboards Page","Validate Fulfillment Dashboards Page",""
"passed","Mon Aug 15 15:20:21 GMT 2022","Mon Aug 15 15:20:29 GMT 2022","8640","","Smoke Tests","","Smoke Tests","Validate Login Success","Validate Login Success",""
"passed","Mon Aug 15 15:20:29 GMT 2022","Mon Aug 15 15:20:30 GMT 2022","1193","","Smoke Tests","","Smoke Tests","Validate Executive Dashboards Page","Validate Executive Dashboards Page",""
"broken","Tue Aug 16 12:07:51 GMT 2022","Tue Aug 16 12:08:01 GMT 2022","10066","","Smoke Tests","","Smoke Tests","Validate Fulfillment Dashboards Page","Validate Fulfillment Dashboards Page",""
"broken","Tue Aug 16 12:07:29 GMT 2022","Tue Aug 16 12:07:31 GMT 2022","1876","","Smoke Tests","","Smoke Tests","Validate Login Success","Validate Login Success",""
"passed","Wed Aug 10 00:35:33 GMT 2022","Wed Aug 10 00:35:33 GMT 2022","1","","Smoke Tests","","Smoke Tests","Fail Test on Purpose","Fail Test on Purpose",""
"passed","Mon Aug 15 15:20:38 GMT 2022","Mon Aug 15 15:20:42 GMT 2022","4684","","Smoke Tests","","Smoke Tests","Validate Sales Dashboards Page","Validate Sales Dashboards Page",""
"broken","Tue Aug 16 12:08:11 GMT 2022","Tue Aug 16 12:08:21 GMT 2022","10066","","Smoke Tests","","Smoke Tests","Validate Warehouse Dashboards Page","Validate Warehouse Dashboards Page",""
"passed","Wed Aug 10 00:35:33 GMT 2022","Wed Aug 10 00:35:33 GMT 2022","3","","Smoke Tests","","Smoke Tests","Validate Uncheck Account Receivable Deposit Clients","Validate Uncheck Account Receivable Deposit Clients",""
