"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 16 18:39:45 GMT 2022","Tue Aug 16 18:39:47 GMT 2022","2469","","Smoke Tests","","Smoke Tests","Validate Warehouse Dashboards Page","Validate Warehouse Dashboards Page",""
"passed","Tue Aug 16 18:47:09 GMT 2022","Tue Aug 16 18:47:18 GMT 2022","8296","","Smoke Tests","","Smoke Tests","Validate Warehouse Dashboards Page","Validate Warehouse Dashboards Page",""
"passed","Tue Aug 16 18:39:27 GMT 2022","Tue Aug 16 18:39:35 GMT 2022","8544","","Smoke Tests","","Smoke Tests","Validate Login Success","Validate Login Success",""
"passed","Tue Aug 16 18:39:35 GMT 2022","Tue Aug 16 18:39:37 GMT 2022","1259","","Smoke Tests","","Smoke Tests","Validate Executive Dashboards Page","Validate Executive Dashboards Page",""
"passed","Tue Aug 16 18:46:53 GMT 2022","Tue Aug 16 18:46:58 GMT 2022","5155","","Smoke Tests","","Smoke Tests","Validate Accounting Dashboards Page","Validate Accounting Dashboards Page",""
"passed","Tue Aug 16 18:39:37 GMT 2022","Tue Aug 16 18:39:40 GMT 2022","3711","","Smoke Tests","","Smoke Tests","Validate Accounting Dashboards Page","Validate Accounting Dashboards Page",""
"passed","Tue Aug 16 18:46:44 GMT 2022","Tue Aug 16 18:46:52 GMT 2022","7587","","Smoke Tests","","Smoke Tests","Validate Login Success","Validate Login Success",""
"passed","Tue Aug 16 18:39:40 GMT 2022","Tue Aug 16 18:39:42 GMT 2022","2169","","Smoke Tests","","Smoke Tests","Validate Fulfillment Dashboards Page","Validate Fulfillment Dashboards Page",""
"passed","Tue Aug 16 18:47:02 GMT 2022","Tue Aug 16 18:47:09 GMT 2022","7401","","Smoke Tests","","Smoke Tests","Validate Sales Dashboards Page","Validate Sales Dashboards Page",""
"passed","Tue Aug 16 18:39:42 GMT 2022","Tue Aug 16 18:39:45 GMT 2022","2602","","Smoke Tests","","Smoke Tests","Validate Sales Dashboards Page","Validate Sales Dashboards Page",""
"passed","Tue Aug 16 18:46:52 GMT 2022","Tue Aug 16 18:46:53 GMT 2022","1692","","Smoke Tests","","Smoke Tests","Validate Executive Dashboards Page","Validate Executive Dashboards Page",""
"passed","Tue Aug 16 18:46:58 GMT 2022","Tue Aug 16 18:47:02 GMT 2022","3483","","Smoke Tests","","Smoke Tests","Validate Fulfillment Dashboards Page","Validate Fulfillment Dashboards Page",""
